Zenith      Alcatel_1  Alcatel_2  Starec_1  Starec_2
  +30.6000   +11.9432    +0.0000    -3.2852    +0.0000
  +30.9000   +11.9798    +0.0000    -3.2078    +0.0000
  +31.2000   +12.0164    +0.0000    -3.1304    +0.0000
  +31.5000   +12.0530    +0.0000    -3.0530    +0.0000
  +31.8000   +12.0896    +0.0000    -2.9756    +0.0000
  +32.1000   +12.1262    +0.0000    -2.8982    +0.0000
  +32.4000   +12.1628    +0.0000    -2.8208    +0.0000
  +32.7000   +12.1994    +0.0000    -2.7434    +0.0000
  +33.0000   +12.2360    +0.0000    -2.6660    +0.0000
  +33.3000   +12.2726    +0.0000    -2.5886    +0.0000
  +33.6000   +12.3092    +0.0000    -2.5112    +0.0000
  +33.9000   +12.3458    +0.0000    -2.4338    +0.0000
  +34.2000   +12.3824    +0.0000    -2.3564    +0.0000
  +34.5000   +12.4190    +0.0000    -2.2790    +0.0000
  +34.8000   +12.4556    +0.0000    -2.2016    +0.0000
  +35.1000   +12.4760    +0.0000    -2.1416    +0.0000
  +35.4000   +12.4640    +0.0000    -2.1164    +0.0000
  +35.7000   +12.4520    +0.0000    -2.0912    +0.0000
  +36.0000   +12.4400    +0.0000    -2.0660    +0.0000
  +36.3000   +12.4280    +0.0000    -2.0408    +0.0000
  +36.6000   +12.4160    +0.0000    -2.0156    +0.0000
  +36.9000   +12.4040    +0.0000    -1.9904    +0.0000
  +37.2000   +12.3920    +0.0000    -1.9652    +0.0000
  +37.5000   +12.3800    +0.0000    -1.9400    +0.0000
  +37.8000   +12.3680    +0.0000    -1.9148    +0.0000
  +38.1000   +12.3560    +0.0000    -1.8896    +0.0000
  +38.4000   +12.3440    +0.0000    -1.8644    +0.0000
  +38.7000   +12.3320    +0.0000    -1.8392    +0.0000
  +39.0000   +12.3200    +0.0000    -1.8140    +0.0000
  +39.3000   +12.3080    +0.0000    -1.7888    +0.0000
  +39.6000   +12.2960    +0.0000    -1.7636    +0.0000
  +39.9000   +12.2840    +0.0000    -1.7384    +0.0000
  +40.2000   +12.3356    +0.0000    -1.7300    +0.0000
  +40.5000   +12.4190    +0.0000    -1.7300    +0.0000
  +40.8000   +12.5024    +0.0000    -1.7300    +0.0000
  +41.1000   +12.5858    +0.0000    -1.7300    +0.0000
  +41.4000   +12.6692    +0.0000    -1.7300    +0.0000
  +41.7000   +12.7526    +0.0000    -1.7300    +0.0000
  +42.0000   +12.8360    +0.0000    -1.7300    +0.0000
  +42.3000   +12.9194    +0.0000    -1.7300    +0.0000
  +42.6000   +13.0028    +0.0000    -1.7300    +0.0000
  +42.9000   +13.0862    +0.0000    -1.7300    +0.0000
  +43.2000   +13.1696    +0.0000    -1.7300    +0.0000
  +43.5000   +13.2530    +0.0000    -1.7300    +0.0000
  +43.8000   +13.3364    +0.0000    -1.7300    +0.0000
  +44.1000   +13.4198    +0.0000    -1.7300    +0.0000
  +44.4000   +13.5032    +0.0000    -1.7300    +0.0000
  +44.7000   +13.5866    +0.0000    -1.7300    +0.0000
  +45.0000   +13.6700    +0.0000    -1.7300    +0.0000
  +45.3000   +13.6844    +0.0000    -1.6310    +0.0000
  +45.6000   +13.6988    +0.0000    -1.5320    +0.0000
  +45.9000   +13.7132    +0.0000    -1.4330    +0.0000
  +46.2000   +13.7276    +0.0000    -1.3340    +0.0000
  +46.5000   +13.7420    +0.0000    -1.2350    +0.0000
  +46.8000   +13.7564    +0.0000    -1.1360    +0.0000
  +47.1000   +13.7708    +0.0000    -1.0370    +0.0000
  +47.4000   +13.7852    +0.0000    -0.9380    +0.0000
  +47.7000   +13.7996    +0.0000    -0.8390    +0.0000
  +48.0000   +13.8140    +0.0000    -0.7400    +0.0000
  +48.3000   +13.8284    +0.0000    -0.6410    +0.0000
  +48.6000   +13.8428    +0.0000    -0.5420    +0.0000
  +48.9000   +13.8572    +0.0000    -0.4430    +0.0000
  +49.2000   +13.8716    +0.0000    -0.3440    +0.0000
  +49.5000   +13.8860    +0.0000    -0.2450    +0.0000
  +49.8000   +13.9004    +0.0000    -0.1460    +0.0000
  +50.1000   +13.8920    +0.0000    -0.0510    +0.0000
  +50.4000   +13.8380    +0.0000    +0.0360    +0.0000
  +50.7000   +13.7840    +0.0000    +0.1230    +0.0000
  +51.0000   +13.7300    +0.0000    +0.2100    +0.0000
  +51.3000   +13.6760    +0.0000    +0.2970    +0.0000
  +51.6000   +13.6220    +0.0000    +0.3840    +0.0000
  +51.9000   +13.5680    +0.0000    +0.4710    +0.0000
  +52.2000   +13.5140    +0.0000    +0.5580    +0.0000
  +52.5000   +13.4600    +0.0000    +0.6450    +0.0000
  +52.8000   +13.4060    +0.0000    +0.7320    +0.0000
  +53.1000   +13.3520    +0.0000    +0.8190    +0.0000
  +53.4000   +13.2980    +0.0000    +0.9060    +0.0000
  +53.7000   +13.2440    +0.0000    +0.9930    +0.0000
  +54.0000   +13.1900    +0.0000    +1.0800    +0.0000
  +54.3000   +13.1360    +0.0000    +1.1670    +0.0000
  +54.6000   +13.0820    +0.0000    +1.2540    +0.0000
